path,label,start,end,subject,cam,dataset
falls/34FunnyKidNominees-FailArmyHallOfFameMay201729,8,3.437,8.545,-1,-1,OOPS
falls/34FunnyKidNominees-FailArmyHallOfFameMay20179,0,0.0,2.373,-1,-1,OOPS
falls/34FunnyKidNominees-FailArmyHallOfFameMay20179,15,2.373,3.169,-1,-1,OOPS
falls/34FunnyKidNominees-FailArmyHallOfFameMay20179,6,3.169,4.20601,-1,-1,OOPS
falls/34WorkoutFailNominees-FailArmyHallOfFameApril201716,8,0.0,1.368,-1,-1,OOPS
falls/34WorkoutFailNominees-FailArmyHallOfFameApril201716,0,1.368,4.146,-1,-1,OOPS
falls/34WorkoutFailNominees-FailArmyHallOfFameApril201716,8,4.146,5.429,-1,-1,OOPS
falls/34WorkoutFailNominees-FailArmyHallOfFameApril201716,0,5.429,6.333,-1,-1,OOPS
falls/34WorkoutFailNominees-FailArmyHallOfFameApril201716,15,6.333,6.831,-1,-1,OOPS
falls/34WorkoutFailNominees-FailArmyHallOfFameApril201716,1,6.831,9.196,-1,-1,OOPS
falls/34WorkoutFailNominees-FailArmyHallOfFameApril201716,7,9.196,10.966,-1,-1,OOPS
falls/34WorkoutFailNominees-FailArmyHallOfFameApril201716,0,10.966,15.419,-1,-1,OOPS
falls/34WorkoutFailNominees-FailArmyHallOfFameApril201716,8,15.419,16.501,-1,-1,OOPS
falls/34WorkoutFailNominees-FailArmyHallOfFameApril201716,0,16.501,19.69,-1,-1,OOPS
falls/34WorkoutFailNominees-FailArmyHallOfFameApril201730,9,0.0,16.116,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay201715,0,0.0,1.186,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay201715,15,1.186,1.832,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay201715,1,1.832,2.904,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay201715,7,2.904,4.85984,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay201727,0,0.0,2.248,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay201727,1,2.248,4.192,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay201727,2,4.192,5.358,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay201727,0,5.358,7.6,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay201727,15,7.6,8.348,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay201727,1,8.348,10.021,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay201727,14,10.021,12.481,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay201727,0,12.481,14.024,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay201727,15,14.024,14.658,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay201727,9,14.658,15.719,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay201727,1,15.719,17.396,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay201727,2,17.396,21.054,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay20176,0,0.0,1.915,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay20176,15,1.915,2.784,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay20176,1,2.784,3.661,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay20176,2,3.661,4.676,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay20176,6,4.676,5.882,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay20176,0,5.882,8.512,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay20176,1,8.512,10.166,-1,-1,OOPS
falls/38ParkourFailNominees-FailArmyHallOfFameMay20176,2,10.166,12.24558,-1,-1,OOPS
falls/ABoatloadofFails-ThrowbackFailsNovember2017_FailArmy0,9,0.0,3.826,-1,-1,OOPS
falls/ABoatloadofFails-ThrowbackFailsNovember2017_FailArmy0,1,3.826,5.585,-1,-1,OOPS
falls/ABoatloadofFails-ThrowbackFailsNovember2017_FailArmy0,0,5.585,7.287,-1,-1,OOPS
falls/ABoatloadofFails-ThrowbackFailsNovember2017_FailArmy0,1,7.287,9.242,-1,-1,OOPS
falls/ABoatloadofFails-ThrowbackFailsNovember2017_FailArmy0,7,9.242,10.025,-1,-1,OOPS
falls/ABoatloadofFails-ThrowbackFailsNovember2017_FailArmy0,0,10.025,12.069,-1,-1,OOPS
falls/ABoatloadofFails-ThrowbackFailsNovember2017_FailArmy15,0,0.0,0.995,-1,-1,OOPS
falls/ABoatloadofFails-ThrowbackFailsNovember2017_FailArmy15,9,0.995,2.32,-1,-1,OOPS
falls/ABoatloadofFails-ThrowbackFailsNovember2017_FailArmy15,15,2.32,3.058,-1,-1,OOPS
falls/ABoatloadofFails-ThrowbackFailsNovember2017_FailArmy15,1,3.058,4.426,-1,-1,OOPS
falls/ABoatloadofFails-ThrowbackFailsNovember2017_FailArmy15,1,4.426,5.33867,-1,-1,OOPS
falls/ABoatloadofFails-ThrowbackFailsNovember2017_FailArmy18,9,0.0,1.686,-1,-1,OOPS
falls/ABoatloadofFails-ThrowbackFailsNovember2017_FailArmy18,0,1.686,3.018,-1,-1,OOPS
falls/ABoatloadofFails-ThrowbackFailsNovember2017_FailArmy18,1,3.018,3.71,-1,-1,OOPS
falls/AChristmasMiracle-FailsYouMissed21December2017_FailArmy3,8,0.0,3.719,-1,-1,OOPS
falls/AChristmasMiracle-FailsYouMissed21December2017_FailArmy3,9,3.719,5.604,-1,-1,OOPS
falls/AChristmasMiracle-FailsYouMissed21December2017_FailArmy3,8,5.604,8.80399,-1,-1,OOPS
falls/AChristmasMiracle-FailsYouMissed21December2017_FailArmy38,8,0.0,1.012,-1,-1,OOPS
falls/AChristmasMiracle-FailsYouMissed21December2017_FailArmy38,9,1.012,6.086,-1,-1,OOPS
falls/AChristmasMiracle-FailsYouMissed21December2017_FailArmy38,8,6.086,8.186,-1,-1,OOPS
falls/AChristmasMiracle-FailsYouMissed21December2017_FailArmy38,1,8.186,9.92494,-1,-1,OOPS
falls/AChristmasMiracle-FailsYouMissed21December2017_FailArmy41,8,0.0,4.226,-1,-1,OOPS
falls/AChristmasMiracle-FailsYouMissed21December2017_FailArmy41,9,4.226,5.005,-1,-1,OOPS
falls/AChristmasMiracle-FailsYouMissed21December2017_FailArmy41,1,5.005,6.353,-1,-1,OOPS
falls/AChristmasMiracle-FailsYouMissed21December2017_FailArmy41,7,6.353,7.92327,-1,-1,OOPS
falls/AChristmasMiracle-FailsYouMissed21December2017_FailArmy80,4,0.0,1.795,-1,-1,OOPS
falls/AChristmasMiracle-FailsYouMissed21December2017_FailArmy80,1,1.795,3.13501,-1,-1,OOPS
falls/AlleyOOPS-FailsoftheWeekOctober201710,2,0.0,0.878,-1,-1,OOPS
falls/AlleyOOPS-FailsoftheWeekOctober201710,9,0.878,2.52,-1,-1,OOPS
falls/AlleyOOPS-FailsoftheWeekOctober201710,0,2.52,3.009,-1,-1,OOPS
falls/AlleyOOPS-FailsoftheWeekOctober201710,1,3.009,4.586,-1,-1,OOPS
falls/AlleyOOPS-FailsoftheWeekOctober201710,2,4.586,5.86667,-1,-1,OOPS
falls/AlleyOOPS-FailsoftheWeekOctober20178,8,0.0,0.301,-1,-1,OOPS
falls/AlleyOOPS-FailsoftheWeekOctober20178,15,0.301,0.971,-1,-1,OOPS
falls/AlleyOOPS-FailsoftheWeekOctober20178,1,0.971,1.929,-1,-1,OOPS
falls/AlleyOOPS-FailsoftheWeekOctober20178,2,1.929,6.16667,-1,-1,OOPS
falls/AlwaysWearYourHelmet-FailsoftheWeekJuly2018_FailArmy11,9,0.0,44.718,-1,-1,OOPS
falls/AlwaysWearYourHelmet-FailsoftheWeekJuly2018_FailArmy11,8,0.0,24.018,-1,-1,OOPS
falls/AlwaysWearYourHelmet-FailsoftheWeekJuly2018_FailArmy11,9,44.718,50.101,-1,-1,OOPS
falls/AlwaysWearYourHelmet-FailsoftheWeekJuly2018_FailArmy11,1,50.101,51.079,-1,-1,OOPS
falls/AlwaysWearYourHelmet-FailsoftheWeekJuly2018_FailArmy11,7,51.079,54.892,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy27,9,0.0,3.7,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy27,1,3.7,5.246,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy27,2,5.246,8.291,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy27,4,8.291,12.808,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy27,1,12.808,21.855,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy27,2,21.855,25.342,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy27,7,25.342,26.35,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy27,8,26.35,27.91,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy30,9,0.0,3.663,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy30,15,3.663,4.526,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy30,15,4.526,5.673,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy30,15,5.673,6.58,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy30,1,6.58,8.634,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy30,11,8.634,9.779,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy30,5,9.779,10.564,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy30,6,10.564,12.451,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy30,8,12.451,14.586,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy30,15,14.586,15.147,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy30,1,15.147,16.572,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy30,2,16.572,20.303,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy30,15,20.303,21.71,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy30,9,21.71,22.451,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy30,1,22.451,24.552,-1,-1,OOPS
falls/AmericanFailsJuly2017_FailArmy30,2,24.552,28.81399,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy15,9,0.0,9.796,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy15,1,9.796,11.179,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy15,2,11.179,15.565,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy15,8,15.565,18.404,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy15,0,18.404,23.714,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy15,1,23.714,31.064,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy2,9,0.0,2.371,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy2,1,2.371,3.651,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy2,2,3.651,5.37204,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy26,8,0.0,1.422,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy26,0,1.422,2.146,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy26,15,2.146,3.264,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy26,8,3.264,5.461,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy26,15,5.461,6.731,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy26,8,6.731,8.578,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy26,15,8.578,9.231,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy26,1,9.231,10.683,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy26,2,10.683,12.16701,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy29,1,0.0,10.286,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy29,2,10.286,12.792,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy29,8,12.792,15.616,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy29,9,15.616,17.983,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy29,1,17.983,21.522,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy5,9,0.0,5.653,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy5,9,5.653,8.078,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy5,1,8.078,15.637,-1,-1,OOPS
falls/AngerManagement-FailsoftheWeekJanuary2019_FailArmy5,2,15.637,16.95,-1,-1,OOPS
falls/AntsAreMarching-FailsoftheMonthOctober2017_FailArmy7,15,0.0,0.894,-1,-1,OOPS
falls/AntsAreMarching-FailsoftheMonthOctober2017_FailArmy7,1,0.894,2.342,-1,-1,OOPS
falls/AntsAreMarching-FailsoftheMonthOctober2017_FailArmy7,7,2.342,3.101,-1,-1,OOPS
falls/AntsAreMarching-FailsoftheMonthOctober2017_FailArmy7,8,3.101,5.16667,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy10,8,0.0,1.36,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy10,9,1.36,2.299,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy10,8,2.299,2.383,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy10,12,2.383,3.063,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy10,7,3.063,3.908,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy10,15,3.908,4.308,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy10,1,4.308,5.234,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy10,2,5.234,9.47299,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy21,7,0.0,0.6,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy21,0,0.6,3.18,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy21,9,3.18,10.143,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy21,1,10.143,10.967,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy21,2,10.967,12.476,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy21,7,12.476,14.21421,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy37,8,0.0,2.903,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy37,15,2.903,3.696,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy37,1,3.696,5.399,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy37,2,5.399,8.07474,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy40,0,0.0,3.168,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy40,1,3.168,4.396,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy40,2,4.396,6.71,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy40,8,6.71,7.844,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy40,12,7.844,9.244,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy40,1,9.244,11.457,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy40,7,11.457,13.131,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy40,4,13.131,13.644,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy40,7,13.644,17.31732,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy46,9,0.0,3.144,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy46,1,3.144,4.627,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy46,7,4.627,6.026,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy46,0,6.026,8.17701,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy51,9,0.0,1.298,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy51,1,1.298,3.63697,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy63,9,0.0,3.612,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy63,1,3.612,5.889,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy63,2,5.889,6.592,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy63,9,6.592,8.049,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy63,8,8.049,8.709,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy63,0,8.709,10.487,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy63,1,10.487,12.33,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy63,2,12.33,15.64898,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy75,9,0.0,7.46,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy75,4,7.46,12.645,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy75,1,12.645,14.415,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy75,2,14.415,16.22299,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy76,9,0.0,6.05,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy76,1,6.05,7.474,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy76,2,7.474,9.457,-1,-1,OOPS
falls/AreYouSerious-ThrowbackThursdaySeptember2017_FailArmy76,7,9.457,10.444,-1,-1,OOPS
falls/ArmpitWax-FailsYouMissedApril2018_2018102,9,0.0,4.207,-1,-1,OOPS
falls/ArmpitWax-FailsYouMissedApril2018_2018102,1,4.207,5.322,-1,-1,OOPS
falls/ArmpitWax-FailsYouMissedApril2018_2018102,2,5.322,5.741,-1,-1,OOPS
falls/ArmpitWax-FailsYouMissedApril2018_2018102,7,5.741,7.065,-1,-1,OOPS
falls/ArmpitWax-FailsYouMissedApril2018_2018102,11,7.065,8.02,-1,-1,OOPS
falls/ArmpitWax-FailsYouMissedApril2018_201821,8,0.0,0.4,-1,-1,OOPS
falls/ArmpitWax-FailsYouMissedApril2018_201821,9,0.4,3.545,-1,-1,OOPS
falls/ArmpitWax-FailsYouMissedApril2018_201821,1,3.545,4.62886,-1,-1,OOPS
falls/ArmpitWax-FailsYouMissedApril2018_201828,9,0.0,7.608,-1,-1,OOPS
falls/ArmpitWax-FailsYouMissedApril2018_201828,9,7.608,15.047,-1,-1,OOPS
falls/ArmpitWax-FailsYouMissedApril2018_201828,1,15.047,16.039,-1,-1,OOPS
falls/ArmpitWax-FailsYouMissedApril2018_201828,7,16.039,17.138,-1,-1,OOPS
falls/ArmpitWax-FailsYouMissedApril2018_201828,11,17.138,18.78299,-1,-1,OOPS
falls/ArmpitWax-FailsYouMissedApril2018_201836,9,0.0,4.218,-1,-1,OOPS
falls/ArmpitWax-FailsYouMissedApril2018_201836,1,4.218,5.17299,-1,-1,OOPS
falls/ArmpitWax-FailsYouMissedApril2018_201838,9,0.0,4.084,-1,-1,OOPS
